kind,pref,name,area,lat,lon,mlat,mlon
fishing,青森県,青森漁港,青森市,40.83378,140.767,40.83378,140.767
fishing,青森県,風合瀬漁港,風合瀬,40.74488,140.0029,40.74488,140.0029
fishing,青森県,驫木漁港,大戸瀬,40.70322,139.97624,40.70322,139.97624
fishing,青森県,鯵ヶ沢漁港,鰺ヶ沢 赤石水産,40.78183,140.21066,40.78183,140.21066
fishing,青森県,鶏沢漁港,横浜町,41.12654,141.2611,41.12654,141.2611
fishing,青森県,黒崎漁港,普代村,40.51272,139.94481,40.51272,139.94481
fishing,青森県,龍飛漁港,龍飛,41.26011,140.34562,41.26011,140.34562
port,岩手県,久慈港,岩手県,40.2001,141.82447,40.2001,141.82447
port,岩手県,八木港,岩手県,40.34872,141.76553,40.34872,141.76553
port,岩手県,大船渡港,岩手県,39.0191,141.73321,39.0191,141.73321
port,岩手県,宮古港,岩手県,39.62794,141.97615,39.62794,141.97615
port,岩手県,小本港,岩手県,39.84787,141.9783,39.84787,141.9783
port,岩手県,釜石港,岩手県,39.2578,141.92066,39.2578,141.92066
fishing,岩手県,三鏡漁港,広田湾,38.95153,141.72367,38.95153,141.72367
fishing,岩手県,下安家漁港,野田村,40.05557,141.85222,40.05557,141.85222
fishing,岩手県,両替漁港,広田湾,38.99986,141.67841,38.99986,141.67841
fishing,岩手県,両石漁港,釜石東部,39.30705,141.89059,39.30705,141.89059
fishing,岩手県,久喜漁港,久慈市,40.13298,141.85421,40.13298,141.85421
fishing,岩手県,久慈湊漁港,久慈市,40.20432,141.80025,40.20432,141.80025
fishing,岩手県,仮宿漁港,釜石東部,39.31514,141.94691,39.31514,141.94691
fishing,岩手県,仲組漁港,重茂,39.63563,142.02389,39.63563,142.02389
fishing,岩手県,佐須漁港,釜石湾,39.22061,141.92529,39.22061,141.92529
fishing,岩手県,六ヶ浦漁港,広田湾,38.96514,141.70479,38.96514,141.70479
fishing,岩手県,北山漁港,田野畑村,39.95948,141.9561,39.95948,141.9561
fishing,岩手県,千歳漁港,吉浜,39.16174,141.89644,39.16174,141.89644
fishing,岩手県,千鶏漁港,重茂,39.52981,142.03417,39.52981,142.03417
fishing,岩手県,只出漁港,広田湾,38.98403,141.70951,38.98403,141.70951
fishing,岩手県,合足漁港,大船渡市,39.0343,141.76867,39.0343,141.76867
fishing,岩手県,吉浜漁港,吉浜,39.14401,141.8406,39.14401,141.8406
fishing,岩手県,吉里吉里漁港,大槌町,39.37955,141.94374,39.37955,141.94374
fishing,岩手県,唐丹漁港,唐丹町,39.20845,141.88892,39.20845,141.88892
fishing,岩手県,堀内漁港,普代村,40.05252,141.86166,40.05252,141.86166
fishing,岩手県,増館漁港,吉浜,39.13624,141.85348,39.13624,141.85348
